"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2756.57332354643","2473.87354790732","1490.35193668474","1438.58850813848","1587.04298834687","1758.67355702797","1909.64268102564","2023.94715018545","2217.0578535948","2347.50209987159","2572.4208203298","2915.45578555773","3382.06032385789","3958.32998572176","4518.26274645491","5339.90170201023","6274.02820664947","7380.23153964858","8097.3050071749","7045.33072468128","7331.38650353822","7881.77173468477","9279.17540037906","9847.93225053577","10153.5556108742","10183.9279276811","11036.7222919191","12605.337955959","13478.7627947124","15729.1496950576","15523.4653938859","16899.0709181678","20445.0410355578","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12880.5511999373","13540.5492561906","13787.47976733","14594.2959398031","15607.6720619553","14944.7957874133","15898.1157440955","16717.0522354267","17374.6863760041","17963.6381321169","19189.4483202303","18444.3152986474","18683.9883960014","19982.6865843469","21464.3654261776","23296.7240269624","26724.1972976173","29593.0803504902","29708.9717535717","25923.1120268421","23850.1402677498","23584.2714499711","22271.6951485973","21652.9033262642","21558.9997705071","20865.2339089624","21181.6274149752","21217.6292614592","24336.8548617152","26316.833216636","22159.4122861666","25493.1295548691","29711.4792535714","",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17380.8816876752","17835.3580774279","18253.5816346613","19215.9605874947","20170.5253980883","21038.6667853022","22132.1929034356","23124.9639117233","24378.2453109245","25485.39144594","26541.6653208437","27645.8140289701","29032.4909555888","30121.8184177337","31763.7960926854","33036.5834770249","34846.7156302418","36653.8417179443","37532.9990434133","40312.3951186945","39374.6321044163","42025.4645815618","42866.6043295085","45936.049310436","46914.3867078836","46292.0954391179","47289.2859136343","48418.558421681","50251.3353381469","52746.7182896307","54064.0794661947","57406.1787604549","65388.2159562839","",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19459.1853817091","20602.8842323951","21278.1008434046","21717.3827088261","22626.6999440699","23681.2123261073","24552.0264768985","25422.0232889956","26674.8408048973","27606.4830303088","29379.7422969788","29711.5838626165","31178.6933297272","32146.0152926271","33774.7873879307","35013.7140443423","37661.922416092","39439.6039049819","41316.225176699","40916.9197419528","42002.1571364403","44452.7327457999","46457.3457770311","47922.0491207455","48799.7154676985","49865.9039424185","52684.0171130768","54172.9867888254","56937.944282984","60574.6271030491","58610.8343636691","63421.2035870778","70975.7206346934","",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5253.44660826408","5321.81099375037","4149.74660557513","3217.65149470211","2603.60192877256","2317.59069546393","2366.63815438445","2522.62837120686","2779.61552655268","3000.92505671238","3381.66620983258","3770.85228711686","4159.94056320335","4639.79442615882","5159.85941090733","6740.4240629969","9243.49764554313","11732.8414907335","12969.2003782405","13972.5947839401","14678.7737395302","14804.5744507911","15994.1466501836","17267.5118919537","17563.6122454385","15075.2726347911","14535.8020210633","14315.929643106","15282.9995232298","16675.3179361558","15163.5703327282","20111.3756952109","22512.2816972269","",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","609.371647541677","648.330867116989","652.512222508418","647.477043592149","632.424953909955","559.836299430181","524.681068398009","525.83172726084","546.719839805259","535.962337056464","532.425919852103","542.030190166285","559.112337329033","545.775539314511","566.091631453863","567.700700411859","595.205565689488","609.593595544823","625.243739608448","620.896733786154","630.358192954177","646.103127483227","656.84482613613","706.989782083521","745.402665408479","821.246254708968","795.785995768452","785.233394653441","777.446972175959","804.165344064636","812.055172966976","864.280732753101","917.503439124738","",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18675.3121947985","19587.8553500426","20258.5474461442","20459.1891478373","21504.01177389","22431.459360451","22736.7580685985","23727.8975208193","24368.7574088239","25440.8411888638","27788.0908832256","28796.5795804462","30282.2886450283","30934.5826454577","32063.9826949865","33177.8909458158","35258.985063203","36799.5318686343","37883.3319417819","37748.3994331926","39833.1840540415","40942.372710454","42290.7620520019","43671.11959259","44929.685593416","46200.904454307","48597.3999826201","50442.2705419624","52530.5620821347","56621.5417607532","55756.6682522937","62107.0699329664","68253.332067842","",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220.21458185828","1275.135741128","1302.24047956983","1349.49034534688","1354.59080377176","1436.73762604785","1487.59807779095","1554.14549343527","1584.96540576118","1642.173164791","1724.54671037395","1802.32459760145","1858.76676518554","1902.50292259119","1979.29289911841","2011.39667736316","2090.28425488276","2210.7927096781","2294.86987751056","2294.60279263052","2302.6877910018","2350.35645152303","2435.94851269195","2609.13575866286","2774.85895261323","2832.0041744077","2952.51368290359","2996.13599047432","3075.23586752195","3260.76853616447","3354.17997077466","3575.31148668734","3957.9500141338","",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","568.630146341943","625.178195411171","625.322827184169","646.047073403215","651.879799348004","685.788688392577","755.708141447607","796.589149193638","840.984430760182","889.501251044902","899.584820546202","951.314407021718","977.668518493994","1041.89856330638","1083.24931305826","1176.3572973137","1248.87304213661","1295.4671174055","1356.37219555766","1364.89564531445","1454.57874744176","1536.80894422349","1577.21692499292","1648.38827756127","1666.7688641619","1696.95357862597","1887.55372049279","2048.43146169979","2077.95612146683","2233.26155474138","2375.86285194077","2467.67804044213","2620.50015030619","",
